time,open,high,low,close
2023-05-08T16:33:00-03:00,4136.98,4137,4136.05,4136.93
2023-05-08T16:34:00-03:00,4137.24,4137.46,4136.72,4137.12
2023-05-08T16:35:00-03:00,4137.14,4137.68,4136.96,4137.45
2023-05-08T16:36:00-03:00,4137.5,4137.51,4136.92,4137.26
2023-05-08T16:37:00-03:00,4137.14,4137.99,4137.14,4137.72
2023-05-08T16:38:00-03:00,4137.78,4138.17,4137.68,4137.73
2023-05-08T16:39:00-03:00,4137.71,4137.91,4136.99,4137.91
2023-05-08T16:40:00-03:00,4137.86,4138.89,4137.86,4138.89
2023-05-08T16:41:00-03:00,4138.93,4139.15,4138.61,4139.15
2023-05-08T16:42:00-03:00,4139.2,4139.87,4139.17,4139.81
2023-05-08T16:43:00-03:00,4139.84,4139.99,4139.32,4139.83
2023-05-08T16:44:00-03:00,4139.88,4140.4,4139.88,4139.91
2023-05-08T16:45:00-03:00,4139.48,4140.2,4139.29,4140
2023-05-08T16:46:00-03:00,4139.96,4139.96,4138.73,4139.49
2023-05-08T16:47:00-03:00,4139.47,4139.99,4139.24,4139.98
2023-05-08T16:48:00-03:00,4140.02,4141.04,4140.02,4140.25
2023-05-08T16:49:00-03:00,4140.25,4140.98,4139.89,4139.9
2023-05-08T16:50:00-03:00,4140.1,4140.46,4137.98,4138.22
2023-05-08T16:51:00-03:00,4138.13,4138.13,4137.28,4137.58
2023-05-08T16:52:00-03:00,4137.64,4137.88,4137.14,4137.87
2023-05-08T16:53:00-03:00,4137.92,4138.27,4137.55,4137.83
2023-05-08T16:54:00-03:00,4137.91,4138.44,4137.46,4138.24
2023-05-08T16:55:00-03:00,4137.7,4137.7,4136.95,4137.23
2023-05-09T10:30:00-03:00,4122.36,4122.69,4120.58,4120.58
2023-05-09T10:31:00-03:00,4120.63,4120.76,4119.15,4119.36
2023-05-09T10:32:00-03:00,4119.43,4119.63,4118.39,4118.57
2023-05-09T10:33:00-03:00,4118.51,4118.68,4117.26,4117.53
2023-05-09T10:34:00-03:00,4117.65,4119.84,4117.51,4119.49
2023-05-09T10:35:00-03:00,4119.49,4120.46,4119.02,4119.08
2023-05-09T10:36:00-03:00,4119.25,4120.11,4119.12,4119.52
2023-05-09T10:37:00-03:00,4119.47,4119.99,4118.15,4118.48
2023-05-09T10:38:00-03:00,4118.35,4118.35,4117.14,4117.14
2023-05-09T10:39:00-03:00,4117.12,4118.18,4116.65,4117.53
2023-05-09T10:40:00-03:00,4117.42,4118.06,4117.42,4117.62
2023-05-09T10:41:00-03:00,4117.56,4119.12,4117.56,4119.12
2023-05-09T10:42:00-03:00,4119.29,4123.22,4119.21,4123.15
